UF,REGIAO,LOCALIDADE,LOCALIDADE_SEM_ACENTOS,FAIXA_DE_CEP,CEP_INICIAL,CEP_FINAL,SITUACAO,TIPO_DE_FAIXA,LATITUDE,LONGITUDE,COD_GEOGRAFICO_SUBDIVISAO,COD_GEOGRAFICO_DISTRITO,COD_IBGE,MICRORREGIAO,MESORREGIAO,CATEGORIA,ALTITUDE,LOCALIZACAO,LOCALIZACAO_SEM_ACENTOS
AC,Norte,Acrelândia,Acrelandia,69945-000 a 69949-999,69945000,69949999,Não codificada por logradouros,Total do município,"-10,07379389","-67,05231658",12000130500.0,120001305.0,1200013.0,RIO BRANCO,VALE DO ACRE,CIDADE,"205,89","BRA, ACRE, ACRELÂNDIA","BR, ACRE, ACRELANDIA"
AC,Norte,Assis Brasil,Assis Brasil,69935-000 a 69939-999,69935000,69939999,Não codificada por logradouros,Total do município,"-10,94286568","-69,56345917",12000540500.0,120005405.0,1200054.0,BRASILÉIA,VALE DO ACRE,CIDADE,"234,87","BRA, ACRE, ASSIS BRASIL","BR, ACRE, ASSIS BRASIL"
AC,Norte,Brasiléia,Brasileia,69932-000 a 69933-999,69932000,69933999,Não codificada por logradouros,Total do município,"-11,01641102","-68,74794343",12001040500.0,120010405.0,1200104.0,BRASILÉIA,VALE DO ACRE,CIDADE,"188,32","BRA, ACRE, BRASILÉIA","BR, ACRE, BRASILEIA"
AC,Norte,Bujari,Bujari,69926-000 a 69926-999,69926000,69926999,Não codificada por logradouros,Total do município,"-9,820019627","-67,95185928",12001380500.0,120013805.0,1200138.0,RIO BRANCO,VALE DO ACRE,CIDADE,"198,17","BRA, ACRE, BUJARI","BR, ACRE, BUJARI"
AC,Norte,Capixaba,Capixaba,69931-000 a 69931-999,69931000,69931999,Não codificada por logradouros,Total do município,"-10,56976771","-67,67350797",12001790500.0,120017905.0,1200179.0,RIO BRANCO,VALE DO ACRE,CIDADE,"212,3","BRA, ACRE, CAPIXABA","BR, ACRE, CAPIXABA"
AC,Norte,Cruzeiro do Sul,Cruzeiro do Sul,69980-000 a 69981-999,69980000,69981999,Não codificada por logradouros,Total do município,"-7,630690005","-72,67253132",12002030500.0,120020305.0,1200203.0,CRUZEIRO DO SUL,VALE DO JURUÁ,CIDADE,"183,08","BRA, ACRE, CRUZEIRO DO SUL","BR, ACRE, CRUZEIRO DO SUL"
AC,Norte,Epitaciolândia,Epitaciolandia,69934-000 a 69934-999,69934000,69934999,Não codificada por logradouros,Total do município,"-11,02823983","-68,74486807",12002520500.0,120025205.0,1200252.0,BRASILÉIA,VALE DO ACRE,CIDADE,"206,04","BRA, ACRE, EPITACIOLÂNDIA","BR, ACRE, EPITACIOLANDIA"
AC,Norte,Feijó,Feijo,69960-000 a 69969-999,69960000,69969999,Não codificada por logradouros,Total do município,"-8,16024753","-70,35398361",12003020500.0,120030205.0,1200302.0,TARAUACÁ,VALE DO JURUÁ,CIDADE,"159,82","BRA, ACRE, FEIJÓ","BR, ACRE, FEIJO"
AC,Norte,Jordão,Jordao,69975-000 a 69979-999,69975000,69979999,Não codificada por logradouros,Total do município,"-9,19335786","-71,95087512",12003280500.0,120032805.0,1200328.0,TARAUACÁ,VALE DO JURUÁ,CIDADE,"264,98","BRA, ACRE, JORDÃO","BR, ACRE, JORDAO"
AC,Norte,Mâncio Lima,Mancio Lima,69990-000 a 69999-999,69990000,69999999,Não codificada por logradouros,Total do município,"-7,593222594","-72,91650103",12003360500.0,120033605.0,1200336.0,CRUZEIRO DO SUL,VALE DO JURUÁ,CIDADE,"187,07","BRA, ACRE, MÂNCIO LIMA","BR, ACRE, MANCIO LIMA"
AC,Norte,Manoel Urbano,Manoel Urbano,69950-000 a 69954-999,69950000,69954999,Não codificada por logradouros,Total do município,"-8,836317737","-69,25994458",12003440500.0,120034405.0,1200344.0,SENA MADUREIRA,VALE DO ACRE,CIDADE,"162,13","BRA, ACRE, MANOEL URBANO","BR, ACRE, MANOEL URBANO"
AC,Norte,Marechal Thaumaturgo,Marechal Thaumaturgo,69983-000 a 69984-999,69983000,69984999,Não codificada por logradouros,Total do município,"-8,953591123","-72,79026591",12003510500.0,120035105.0,1200351.0,CRUZEIRO DO SUL,VALE DO JURUÁ,CIDADE,"214,91","BRA, ACRE, MARECHAL THAUMATURGO","BR, ACRE, MARECHAL THAUMATURGO"
AC,Norte,Plácido de Castro,Placido de Castro,69928-000 a 69929-999,69928000,69929999,Não codificada por logradouros,Total do município,"-10,33513328","-67,18826009",12003850500.0,120038505.0,1200385.0,RIO BRANCO,VALE DO ACRE,CIDADE,"129,19","BRA, ACRE, PLÁCIDO DE CASTRO","BR, ACRE, PLACIDO DE CASTRO"
AC,Norte,Porto Acre,Porto Acre,69927-000 a 69927-999,69927000,69927999,Não codificada por logradouros,Total do município,"-9,600858231","-67,54059008",12008070500.0,120080705.0,1200807.0,RIO BRANCO,VALE DO ACRE,CIDADE,"134,32","BRA, ACRE, PORTO ACRE","BR, ACRE, PORTO ACRE"
AC,Norte,Porto Walter,Porto Walter,69982-000 a 69982-999,69982000,69982999,Não codificada por logradouros,Total do município,"-8,266666363","-72,74233396",12003930500.0,120039305.0,1200393.0,CRUZEIRO DO SUL,VALE DO JURUÁ,CIDADE,"201,81","BRA, ACRE, PORTO WALTER","BR, ACRE, PORTO WALTER"
AC,Norte,Rio Branco,Rio Branco,69900-000 a 69924-999,69900000,69924999,Codificado por logradouros,Total do município,"-9,978298753","-67,8105287",12004010500.0,120040105.0,1200401.0,RIO BRANCO,VALE DO ACRE,CIDADE,"137,87","BRA, ACRE, RIO BRANCO","BR, ACRE, RIO BRANCO"
